,lambda,train_mse_0,test_mse_0,train_mse_1,test_mse_1,train_mse_2,test_mse_2,train_mse_3,test_mse_3,train_mse_4,test_mse_4,train_mse_5,test_mse_5,train_mse_6,test_mse_6,train_mse_7,test_mse_7,train_mse_8,test_mse_8,train_mse_9,test_mse_9,train_mse_10,test_mse_10,train_mse_11,test_mse_11,train_mse_12,test_mse_12,train_mse_13,test_mse_13,train_mse_14,test_mse_14,train_mse_15,test_mse_15,train_mse_16,test_mse_16,train_mse_17,test_mse_17,train_mse_18,test_mse_18,train_mse_19,test_mse_19,train_mse_20,test_mse_20,train_mse_21,test_mse_21,train_mse_22,test_mse_22,train_mse_23,test_mse_23,train_mse_24,test_mse_24,train_mse_25,test_mse_25,train_mse_26,test_mse_26,train_mse_27,test_mse_27,train_mse_28,test_mse_28,train_mse_29,test_mse_29,train_mse_30,test_mse_30
0,1e-09,0.00637581440306743,0.0063787383378001,0.003325704157966678,0.003339938766652853,0.003191852960288872,0.0032119825819421294,0.0028800142463803685,0.002903926574968347,0.002648110037629883,0.0026851822162773198,0.002528830570350035,0.0025774744990074423,0.0023740482154758413,0.0024271548265184873,0.0022389148994788237,0.0022861224497826398,0.0021437475062264545,0.0021909633256563055,0.0020583482734312635,0.0021128061401313415,0.0019993200429710934,0.0020523553286445834,0.0019655822564463533,0.0020140664535446126,0.0019478800471761592,0.0019968925119667634,0.0019307196563430364,0.001982172080658375,0.0019085111076823467,0.0019611194081839986,0.0018855950316012198,0.001938093836476308,0.001865554763056259,0.0019180068452063753,0.0018493609568744178,0.0019033785055594995,0.00183721461347146,0.0018949513975959824,0.0018284824434323763,0.0018907680635249133,0.0018218864644442862,0.0018878198913458918,0.0018166779582970843,0.001884635372712271,0.0018122279068786516,0.0018809321752727675,0.0018085231110462226,0.0018773667370418114,0.0018051193196649828,0.00187385646596917,0.0018014232317892305,0.0018699561424559796,0.0017969960317662653,0.001865392359207896,0.0017917406642585982,0.0018601681540004835,0.0017856298960264687,0.001854414632984143,0.0017788063009123699,0.0018482976420012187,0.0017717720862127982,0.0018422243802536417
1,1.5264179671752366e-09,0.0063758144030674315,0.0063787383378001005,0.0033257041579666836,0.0033399387537970176,0.003191852960289196,0.0032119825562926156,0.0028800142464018956,0.002903926457301154,0.0026481100382276168,0.0026851810941035787,0.0025288323143645443,0.0025774746646297156,0.002374069434345765,0.002427178176419743,0.0022389326496274576,0.0022861421075218115,0.0021437701078780803,0.0021909854405934527,0.002058369939174426,0.0021128247173029377,0.0019993401657435418,0.0020523755381195246,0.001965600858726399,0.0020140860420110305,0.0019478964086459198,0.001996909086705711,0.001930740327503512,0.0019821932759866074,0.0019085386466611738,0.0019611473601640946,0.0018856244906654042,0.0019381247364876175,0.0018655815920439254,0.001918035836160922,0.0018493845770825002,0.0019034039208972078,0.001837233995396628,0.0018949705262993773,0.0018284996736789214,0.001890783623665741,0.001821904806812439,0.0018878360284780293,0.001816699530137772,0.0018846557810949175,0.0018122516811777273,0.0018809559525599835,0.0018085469192550912,0.0018773905699796226,0.0018051430673928608,0.0018738802293003561,0.0018014475989522212,0.0018699789563106964,0.001797021688880154,0.0018654146908877595,0.0017917681768910656,0.0018601916150969503,0.0017856593848249295,0.0018544392849721178,0.0017788376234682698,0.0018483245135179987,0.001771805894753026,0.0018422538200096733
2,2.3299518105153718e-09,0.006375814403067436,0.006378738337800105,0.0033257041579666915,0.0033399387537692547,0.0031918529602898453,0.0032119825251486858,0.0028800142464507003,0.0029039263029002646,0.0026481100395906185,0.002685179352979913,0.002528834980310388,0.0025774749191516746,0.0023741018279125926,0.0024272138239847993,0.0022389597533173057,0.00228617212380726,0.0021438046212365934,0.002191019209642102,0.002058403026999803,0.0021128530933762317,0.0019993709021098203,0.0020524064077176423,0.0019656292761410766,0.002014115965749036,0.001947921412307751,0.001996934408600492,0.0019307719131490112,0.001982225646999192,0.0019085807048065898,0.0019611900502317964,0.001885669508428725,0.0019381719696122124,0.0018656226058712997,0.0019180801410659573,0.001849420706231034,0.0019034427775155923,0.0018372636584387976,0.0018949997525085581,0.001828526059790877,0.0018908072637273184,0.001821932902587603,0.001887860774744718,0.0018167325422654382,0.0018846869812803619,0.0018122880766949494,0.0018809923333773983,0.0018085833790881592,0.0018774270092857092,0.0018051794429880335,0.0018739166069105303,0.0018014849462199966,0.0018700138750100772,0.0017970610111671017,0.001865448807329987,0.0017918103461684574,0.0018602277045438001,0.001785704562272844,0.001854477091609325,0.001778885628676404,0.0018483657072505162,0.0017718577020403349,0.0018422990771800444
3,3.556480306223136e-09,0.006375814403067443,0.006378738337800112,0.0033257041579667092,0.003339938753726885,0.0031918529602910834,0.0032119824851826453,0.0028800142465724935,0.0029039260443672775,0.0026481100429677,0.0026851764039522844,0.002528839058571334,0.0025774753110865455,0.0023741512864802355,0.0024272682486740174,0.0022390011492143497,0.0022862179646744147,0.0021438573309497727,0.0021910707866388103,0.0020584535767196608,0.002112896461992747,0.001999417866639423,0.0020524535739298118,0.001965672710167337,0.002014161704988858,0.0019479596568978779,0.0019969730808565107,0.0019308202007912833,0.001982275100390853,0.0019086450100958417,0.001961255323275687,0.0018857383551998564,0.001938244187670755,0.001865685352956967,0.0019181479127580003,0.0018494760342051553,0.001903502242094255,0.0018373091188755894,0.001895044476254272,0.0018285665446531798,0.0018908432531536707,0.0018219760273532806,0.0018878988427291881,0.0018167831283872227,0.0018847348388661392,0.0018123438905332135,0.0018810481006886156,0.0018086393039551986,0.0018774827770356775,0.0018052352840739754,0.001873972392043509,0.0018015423013735589,0.0018700674667765052,0.0017971214233549562,0.0018655011694152664,0.0017918750865158525,0.0018602831390183952,0.0017857738799707437,0.001854535170980591,0.001778959347479592,0.00184842925885787,0.0017719372845609773,0.0018423688388564008
4,5.4286754393238595e-09,0.006375814403067459,0.006378738337800127,0.003325704157966755,0.0033399387536622283,0.003191852960296387,0.003211982326179914,0.0028800142468206067,0.0029039256952699917,0.0026481100506843976,0.0026851723372071645,0.002528845303611949,0.0025774759170661857,0.0023742268117680045,0.0024273513567613187,0.0022390643918931154,0.0022862879925435674,0.0021439378496611616,0.0021911495810253063,0.002058530843543628,0.0021129628142768186,0.001999489666468821,0.0020525256836484386,0.0019657391386414163,0.0020142316653116834,0.0019480182068857751,0.0019970322288479737,0.0019308940733063884,0.001982350675190223,0.0019087433529148296,0.0019613551628179914,0.0018858437507017981,0.0019383547540229563,0.0018657814650069598,0.001918251722651527,0.0018495609029403187,0.00190359343777058,0.001837378972301971,0.0018951131461347297,0.001828628843890454,0.0018908989209902457,0.0018220424584413698,0.001887957853757592,0.001816860816237946,0.001884807827595894,0.0018124296787939257,0.001881133741675537,0.001808725306349217,0.0018775683487964542,0.001805321202118382,0.0018740581587357984,0.0018016306581190103,0.0018701505807783968,0.0017972143613085,0.0018655814446457847,0.0017919748238166746,0.0018603684175515479,0.0017858805834400887,0.0018546245596321308,0.0017790729263788476,0.0018485277268523732,0.001772059862189579,0.001842476795330196
5,8.28642772854686e-09,0.006375814403067498,0.006378738337800167,0.003325704157966864,0.003339938753563574,0.0031918529603021787,0.0032119822904233134,0.0028800142474619357,0.00290392504093386,0.0026481100680009243,0.0026851659100913593,0.002528854883028146,0.002577476862594721,0.002374342162650666,0.0024274782855152597,0.0022391610522320194,0.002286395008322075,0.002144060908073424,0.002191270018591409,0.002058649006995487,0.002113064351068167,0.0019995995271967645,0.0020526360213210006,0.001965840836768579,0.002014338780704401,0.0019481079795508136,0.001997122812926998,0.0019310070576662552,0.0019824660695616702,0.001908893925839918,0.0019615080745469713,0.001886005346481437,0.0019385241776392168,0.0018659288694746784,0.0019184109946903231,0.001849691462787922,0.001903733127578611,0.001837486560675367,0.0018952182980965758,0.001828725087215492,0.0018909852805917224,0.0018221451916420803,0.0018880497926066033,0.001816980514383693,0.0018849199335385358,0.0018125619896629387,0.0018812654623843496,0.0018088580282088367,0.0018776995124518553,0.0018054539270552362,0.0018741904698484843,0.0018017675341457213,0.0018702800565030763,0.001797358177144246,0.0018657054265392003,0.001792129131562922,0.001860499940163318,0.001786045468204038,0.0018547631732481443,0.0017792488492933821,0.0018486807927249698,0.0017722497430753326,0.0018426453067148778
6,1.2648552168552958e-08,0.006375814403067589,0.006378738337800259,0.0033257041579671217,0.003339938753413078,0.0031918529603274155,0.0032119819648757987,0.002880014248941514,0.0029039242195382227,0.0026481101069570777,0.0026851566912183674,0.002528869613400955,0.002577478356355047,0.0023745184127493563,0.002427672221705891,0.0022393088912137558,0.0022865586486143204,0.0021442490995118814,0.002191454235535341,0.0020588299297337733,0.0021132199661545613,0.0019997678101387585,0.0020528050665523,0.0019659967719219346,0.002014503050301598,0.0019482459591800138,0.0019972617501303855,0.0019311800777860946,0.001982642450493109,0.0019091250184797629,0.0019617426152455097,0.0018862536761869914,0.0019387845231832943,0.0018661554926792945,0.0019186560516989335,0.0018498929706460376,0.0019039482552162576,0.0018376530071947026,0.0018953805911720773,0.0018288745824775233,0.001891119138520986,0.0018223052063505475,0.0018881911596815618,0.0018171657833951816,0.0018850938328794815,0.0018127668801844598,0.0018814686234098956,0.001809064098951111,0.001877903271340373,0.001805660352976433,0.0018743967249472437,0.0018019811197945376,0.001870481618346948,0.001797581950650881,0.0018658990316282361,0.001792369515886744,0.00186070554451315,0.0017863013620677333,0.001854978802564544,0.0017795230994439542,0.0018489200496400332,0.00177254523367329,0.001842907753900887
7,1.9306977288832496e-08,0.006375814403067802,0.006378738337800472,0.0033257041579677292,0.003339938753183573,0.0031918529603756247,0.00321198175036121,0.0028800142523026533,0.0029039228572424747,0.002648110203039388,0.002685141023389352,0.002528892350605483,0.0025774807651061387,0.002374787823070364,0.002427968652937475,0.002239535227050804,0.002286809095313085,0.0021445371568595637,0.0021917362915238733,0.0020591074328065806,0.002113459179772446,0.002000026118809548,0.0020530646585374818,0.0019662364503750876,0.0020147555917316836,0.001948458827371045,0.001997476729992978,0.0019314462405089147,0.0019829131997569404,0.0019094803747154658,0.0019621021511130737,0.0018866366398449512,0.0019391863496514717,0.0018665059287810745,0.0019190356155415495,0.0018502055347608872,0.0019042816364015724,0.0018379129500486573,0.0018956382615499632,0.0018291089863201112,0.0018913260732871203,0.0018225563792030942,0.0018884118195407514,0.001817454899404888,0.0018853661682402077,0.0018130868668286078,0.0018817850235549056,0.00180938727136505,0.0018782225452303354,0.001805983546755003,0.001874713853695719,0.0018023174128511351,0.0018708001870417809,0.001797933432146836,0.0018662067373168387,0.0017927464225878907,0.00186102793420135,0.0017867058710838383,0.0018553284074273463,0.0017799555249378087,0.0018492986586591306,0.001773010724050083,0.001843324346809021
8,2.9470517025518096e-08,0.006375814403068297,0.006378738337800968,0.003325704157969155,0.00333993875283375,0.0031918529605068947,0.0032119809579624703,0.0028800142610164474,0.0029039204583300206,0.0026481104355549987,0.002685116762629218,0.002528927640109398,0.0025774846988235543,0.0023751999648153653,0.002428422087168044,0.0022398822871128516,0.00228719293131648,0.0021449787401159244,0.0021921688528065524,0.0020595342704306644,0.0021138279528331314,0.0020004236775274797,0.0020534645590336493,0.001966606076850445,0.0020151451732733716,0.0019487888909071015,0.0019978093389426905,0.0019318569369162167,0.001983330688845365,0.0019100316246991457,0.0019626592425538124,0.0018872292054072774,0.0019398082769410217,0.0018670525743513665,0.0019196213634028708,0.001850694673040728,0.0019047897078603535,0.0018383223712088292,0.0018960458113394803,0.0018294801353928927,0.0018916549827085727,0.0018229576477673225,0.0018887702935596843,0.001817910560612737,0.0018857956757984706,0.0018135917016116835,0.0018822790575780443,0.0018098991646026432,0.0018787255578691434,0.001806497028542067,0.001875213702284357,0.0018028518168964908,0.0018713089657701244,0.0017984941528738255,0.0018667089128057333,0.0017933457815253102,0.0018615475347301558,0.0017873512007500092,0.001855891249434988,0.0017806462793129203,0.0018499145122582335,0.0017737533033378283,0.0018439947099858466
9,4.498432668969444e-08,0.006375814403069453,0.006378738337802123,0.0033257041579724924,0.003339938752300936,0.0031918529607081803,0.0032119804844149063,0.002880014279257391,0.0029039177912370422,0.002648110947983754,0.0026850848214297713,0.0025289828462351062,0.0025774912434297264,0.002375831124203813,0.002429116425789683,0.0022404156985913444,0.002287782414937848,0.0021456572892899926,0.002192833987423136,0.0020601941045089458,0.0021143992564464477,0.0020010381858231864,0.002054083618494058,0.001967179065152718,0.00201574938757851,0.0019493052048107726,0.0019983280791643523,0.0019324945116436603,0.0019839771116928503,0.001910891369576556,0.001963534373589919,0.001888153977286721,0.0019407643065922954,0.0018679103054733783,0.0019205314477248128,0.001851465391750307,0.0019055940132583129,0.0018389765212591044,0.0018966918618795534,0.0018300770454339533,0.0018921857093131696,0.0018236042156180895,0.0018893450058994298,0.001818638471848149,0.0018864779115976816,0.0018143937550804284,0.0018830480668798675,0.0018107222091652843,0.0018795237232489836,0.0018073265354669149,0.0018760168379242461,0.0018037177151915243,0.0018721408250377725,0.001799399867054513,0.0018675274561469643,0.001794314130411154,0.001862410398381856,0.0017883940956009568,0.0018568263619514747,0.0017817570591309902,0.001850912811995484,0.001774954314643043,0.0018450769026363625
